Time,Scenario,generator,dispatch
1,10,Nuclear,5.399999991717225
1,12,Nuclear,3.000000385424286
1,14,Nuclear,3.000000521923783
1,17,Nuclear,4.800000022602423
1,18,Nuclear,4.800000163482235
1,21,Nuclear,3.0000000254302677
1,22,Nuclear,3.0000001031297123
1,23,Nuclear,5.399999997473645
1,24,Nuclear,4.200000034954817
1,27,Nuclear,5.399999987409249
1,29,Nuclear,3.0000000129194304
1,2,Nuclear,3.000000021465042
1,6,Nuclear,4.2000000256121695
1,7,Nuclear,3.000000024523585
1,8,Nuclear,3.000000516606362
2,10,Nuclear,4.800000120036393
2,12,Nuclear,3.0000005947772506
2,14,Nuclear,3.000000182706905
2,17,Nuclear,5.3999999935669765
2,18,Nuclear,5.399999960627758
2,21,Nuclear,3.000000037238335
2,22,Nuclear,3.0000005491081545
2,23,Nuclear,5.399999994949562
2,24,Nuclear,4.80000000379572
2,27,Nuclear,5.399999984568693
2,29,Nuclear,3.0000000137352254
2,2,Nuclear,3.00000004894954
2,6,Nuclear,4.800000010017661
2,7,Nuclear,3.000000031198122
2,8,Nuclear,3.000000499673237
3,10,Nuclear,4.200000244033151
3,12,Nuclear,3.000000154889008
3,14,Nuclear,3.0000003931089316
3,17,Nuclear,4.800000003305007
3,18,Nuclear,5.39999998841581
3,21,Nuclear,3.00000005329387
3,22,Nuclear,3.600000259981171
3,23,Nuclear,5.399999998554262
3,24,Nuclear,5.399999998298737
3,27,Nuclear,5.399999985752037
3,29,Nuclear,3.000000024510582
3,2,Nuclear,3.0000000311883537
3,6,Nuclear,5.399999999624925
3,7,Nuclear,3.000000038097882
3,8,Nuclear,3.600000262430344
4,10,Nuclear,3.600000430994115
4,12,Nuclear,3.0000002365880394
4,14,Nuclear,3.00000025639258
4,17,Nuclear,4.200000014271221
4,18,Nuclear,5.39999998045854
4,21,Nuclear,3.00000002453925
4,22,Nuclear,4.200000110341886
4,23,Nuclear,4.800000015182882
4,24,Nuclear,4.800000009224868
4,27,Nuclear,5.399999975993362
4,29,Nuclear,3.000000021742938
4,2,Nuclear,3.00000000981544
4,6,Nuclear,5.399999998194992
4,7,Nuclear,3.0000000143154075
4,8,Nuclear,4.200000127973228
5,10,Nuclear,3.0000009920649418
5,12,Nuclear,3.000000338841512
5,14,Nuclear,3.00000018243572
5,17,Nuclear,3.6000000271449073
5,18,Nuclear,4.800000340033968
5,21,Nuclear,3.0000000420359294
5,22,Nuclear,4.80000002117406
5,23,Nuclear,4.200000034900797
5,24,Nuclear,4.200000024550214
5,27,Nuclear,5.399999994850768
5,29,Nuclear,3.000000034310405
5,2,Nuclear,3.0000000285896897
5,6,Nuclear,5.399999990491507
5,7,Nuclear,3.0000000351936533
5,8,Nuclear,4.800000042105465
6,10,Nuclear,3.600000445776703
6,12,Nuclear,3.0000002063860265
6,14,Nuclear,3.0000005939585797
6,17,Nuclear,3.0000000539583573
6,18,Nuclear,4.800000050071392
6,21,Nuclear,3.0000000444232047
6,22,Nuclear,5.3999999694841625
6,23,Nuclear,4.800000009703818
6,24,Nuclear,3.6000000502870044
6,27,Nuclear,5.399999946605512
6,29,Nuclear,3.0000000428564744
6,2,Nuclear,3.0000000286142954
6,6,Nuclear,4.800000025968438
6,7,Nuclear,3.0000000228060597
6,8,Nuclear,5.399999969029785
7,10,Nuclear,4.200000219722354
7,12,Nuclear,3.0000003385733978
7,14,Nuclear,3.0000003202864027
7,17,Nuclear,3.0000000316150732
7,18,Nuclear,5.399999980219041
7,21,Nuclear,3.000000012723825
7,22,Nuclear,5.399999986264614
7,23,Nuclear,5.39999999631541
7,24,Nuclear,3.0000001623777033
7,27,Nuclear,5.399999985235202
7,29,Nuclear,3.0000000214692504
7,2,Nuclear,3.000000068451964
7,6,Nuclear,4.800000055097567
7,7,Nuclear,3.0000000351915754
7,8,Nuclear,4.800000061778207
8,10,Nuclear,4.800000090890219
8,12,Nuclear,3.0000002063314706
8,14,Nuclear,3.000000339832536
8,17,Nuclear,3.0000000619038056
8,18,Nuclear,5.399999998307093
8,21,Nuclear,3.0000000163612346
8,22,Nuclear,5.399999944309363
8,23,Nuclear,5.399999995357124
8,24,Nuclear,3.000000035719971
8,27,Nuclear,5.399999979433893
8,29,Nuclear,3.000000031210054
8,2,Nuclear,3.0000000232063706
8,6,Nuclear,5.3999999961566765
8,7,Nuclear,3.0000000129284765
8,8,Nuclear,4.20000018941546
9,10,Nuclear,5.399999985214294
9,12,Nuclear,3.0000003383430407
9,14,Nuclear,3.0000002208204637
9,17,Nuclear,3.000000052494784
9,18,Nuclear,5.399999995248239
9,21,Nuclear,3.000000085497739
9,22,Nuclear,5.399999951082965
9,23,Nuclear,5.399999998624474
9,24,Nuclear,3.000000113453241
9,27,Nuclear,5.3999999876497835
9,29,Nuclear,3.000000059216541
9,2,Nuclear,3.00000003811579
9,6,Nuclear,5.399999998988575
9,7,Nuclear,3.0000000276709478
9,8,Nuclear,3.6000004930114344
10,10,Nuclear,4.800000254674063
10,12,Nuclear,3.00000019311162
10,14,Nuclear,3.000000345117565
10,17,Nuclear,3.000000160053784
10,18,Nuclear,5.399999984573283
10,21,Nuclear,3.000000048514328
10,22,Nuclear,4.800000886604967
10,23,Nuclear,5.399999999636998
10,24,Nuclear,3.6000000469909046
10,27,Nuclear,5.399999979434912
10,29,Nuclear,3.0000000854856554
10,2,Nuclear,3.0000000381174172
10,6,Nuclear,5.3999999981070665
10,7,Nuclear,3.000000032266924
10,8,Nuclear,3.600000240690404
11,10,Nuclear,4.200000516881431
11,12,Nuclear,3.0000003070482926
11,14,Nuclear,3.000000340013478
11,17,Nuclear,3.600000072752191
11,18,Nuclear,5.3999999922782
11,21,Nuclear,3.000000042095174
11,22,Nuclear,5.399999961213331
11,23,Nuclear,5.399999998526345
11,24,Nuclear,4.200000024753396
11,27,Nuclear,5.39999998676891
